,Bar Name,Address,Description,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
256,Brasserie Max at Covent Garden Hotel,"10 Monmouth Street, London, WC2H 9LF",This handsome building in the heart of Seven Dials is home to Brasserie Max - a gorgeous hotel bar which is a welcome place to pull up a pew after a busy day’s shopping. With gorgeous glamorous interiors or - if you're lucky - one of the hallowed pavement tables - this is a brilliant spot to while away a few hours of an afternoon.,7:30AM - 11PM,7:30AM - 11PM,7:30AM - 11PM,7:30AM - 11PM,7:30AM - 11PM,7:30AM - 11PM,8AM - 10PM
257,Black Book,"23 Frith Street, London, W1D 4RR","A boutique basement bar and kitchen founded by two Master Sommeliers - the venue was once home to TRADE – a members’ club for The Hospitality Industry, which had a “Black Book” of hand-scribed fine and rare wines. This secret Black Book became so popular with guests, they named the reimagined bar after it's legacy - and threw open the doors for everyone.",Closed,5PM - 1AM,5PM - 1AM,5PM - 3AM,5PM - 3AM,5PM - 3AM,Closed
258,A Little Happiness,"Ground Floor, 177 Portobello Road, London, W11 2DY",Perched above award-winning tiki den Trailer Happiness - this brand new pop-up is here for a good time not a long time. Expect all the usual good vibes but with a side order of fresh air as Trailer comes above ground for the first time...,Closed,Closed,Closed,Closed,1PM - 10:30PM,1PM - 10:30PM,1PM - 10:30PM
259,Apothecary,"36 Charlotte Road, London, EC2A 3PG","Apothecary is a Shoreditch Izakaya. A cocktail bar echoing the high energy, sociable environment of a traditional Japanese Izakaya, also serving Japanese small plates, but the drinks staying a bit more neutral, closer to what you’d expect from a Shoreditch cocktail bar, with some Asian influences.",Closed,Closed,12PM - 11PM,12PM - 11PM,12PM - 12PM,12PM - 12PM,12PM - 6PM
260,High Road Brasserie,"162-170 Chiswick High Road, London, W4 1PR",The Brasserie is the ideal setting for intimate dinner and late-night cocktails with a vintage marble centrepiece bar and a large terrace. The most distinctive feature is a vibrantly patterned mosaic floor running throughout with puffy banquettes and pendant lighting.,8AM - 11PM,8AM - 11PM,8AM - 11PM,8AM - 12AM,8AM - 1AM,8AM - 1AM,8AM - 11PM
261,Cecconi’s Pizza Bar,"19-21 Old Compton Street, London, W1D 5JJ","Part of the Cecconi’s family, Cecconi’s Pizza Bar in the heart of Soho has a relaxed vibe. It serves wood-fired oven pizzas, cicchetti and homemade pasta, alongside Aperol Spritzes and Negronis on tap.",12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,11:30AM - 3AM,11:30AM - 3AM,11:30AM - 11PM
262,Los Mochis,"2-4 Farmer Street, London, W8 7SN","Celebrated for mixing Mexican spirit with Japanese elegance, Los Mochis tequileria is home to one of the most interesting selections of small batch artisanal agaves and tequila in town.",Closed,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,12PM - 12AM,12PM - 10PM
263,Bermondsey Larder,"153-157 Tower Bridge Road, London, SE1 3LW","Bermondsey Larder is a family run bar and restaurant which aims to bring a slice of nature, be that land or sea - to what they offer. Super seasonal and as locally sourced as possible.",Closed,Closed,6PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 5PM
264,TT Liquor Roof Terrace,"17B Kingsland Road, London, E2 8AA","Freshly renovated and with outstanding views of the city, this super special rooftop bar is perched above TT Liquor and all the fun that lies beneath.",5PM - 11PM,5PM - 11PM,5PM - 12AM,5PM - 12AM,5PM - 12AM,Closed,Closed
265,Milk Beach,"9-21 Lonsdale Road, London, NW6 6RA",Milk Beach is an Australian restaurant and bar located on the beautiful Lonsdale Road mews in Queen's Park. With pared back interiors and a terrace made for brunching - this is a brilliant addition to the area.,Closed,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 12AM,5PM - 11PM
266,Summer at Hays,"Hay’s Galleria, 1 Battle Bridge Lane, London, SE1 2HD","This Indian summer, spend your hazy days and eclectic evenings unwinding under the glass Galleria in our new utterly instagramable drinks and eats pop-up ‘Summer Hays’. With Riverside views of the city, jump off the Thames Path and settle into this idyllic foliage-covered pop-up at Hays Galleria. In this urban garden, you’ll find botanical craft cocktails, all the usual drink suspects and some great Street Foodies. So joins us to Eat, Drink, Relax and enjoy the scenery!",10AM - 10PM,10AM - 10PM,10AM - 10PM,10AM - 10PM,10AM - 10PM,10AM - 10PM,10AM - 10PM
267,KOL Mezcaleria,"9 Seymour Street, London, W1H 7BA","KOL Mezcaleria is a homage to the magic of Mexico’s mezcal bars, led by bar manager Maxim Schulte. Championing the diversity of Mexican spirits, experience unique cocktails infused with wild, seasonal ingredients sourced from the British Isles, paired with traditional Mexican antojitos.",Closed,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,Closed
268,Hacha Brixton,"Unit 12 Market Row, London, SW9 8LD","Hacha is a celebration of Tequila and Mezcal, this is the second site for London’s only agaveria with a bar and restaurant and cocktail lounge.",Closed,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 12AM,5PM - 12AM,5PM - 11PM
269,Fiend,"301 Portobello Road, London, W10 5TD",Bohemian and sophisticated Fiend in the iconic Portobello Road serve up Cooling High Balls and House Martinis with a signature twist at the classic Long Bar and late-night Cave.,Closed,6PM - 12AM,11AM - 12AM,11AM - 12AM,11AM - 1AM,11AM - 1AM,Closed
270,VyTA,"21 The Market, London, WC2E 8RD","Whether it's breakfast or brunch, pre-theatre drinks or a friendly aperitivo, VyTA in the heart of Covent Garden is a true foodie's paradise. Surrounded by shops, museums and theatres, it's the perfect location for a cultural authentic experience in London.",3PM - 10PM,3PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM
271,Roadtrip,"243 Old Street, London, EC1V 9EY","No visit to a bar in Shoreditch is complete without starting and or ending at the Roadtrip. They’ve been the go to place in Old Street since opening in 2008. Celebrate all things Americana, walk through the doors and be transported to a 1960s New York dive bar.",4PM - 1AM,4PM - 1AM,4PM - 1AM,4PM - 4AM,4PM - 5AM,12PM - 5AM,12PM - 12AM
272,The Hawks Nest,"Goldhawk Road, Shepherd's Bush Market, London, W12 8DF",Venture through the archway into the hidden garden and enjoy cocktails and pizzas amongst flowers and artworks by our featured artists.,3PM - 10:30PM,3PM - 10:30PM,3PM - 10:30PM,3PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM
273,The Phoenix London,"1078 Ariel Way, London, W12 7GB, W12 7GB","West London's new street food and cocktail venue. Enjoy margaritas and mezcalitas alongside burgers, steak & chips and serious salad boxes on their English garden terrace, or venture inside for an array of events and live entertainment on every evening of the week.",12PM - 10:30PM,12PM - 10:30PM,12PM - 12:30AM,12PM - 12:30AM,12PM - 12:30AM,12PM - 12:30AM,12PM - 10:30PM
274,Crol & Co,"66a Newcomen Street , London, SE1 1YT","Crol & Co is an understated, friendly and high energy coffee cocktail bar in the heart of London Bridge. A converted garage with a large sun trap outside means excellent day drinking for whatever your elixir may be.",8AM - 5PM,8AM - 8PM,8AM - 10:30PM,8AM - 10:30PM,8AM - 10:30PM,9AM - 10:30PM,10AM - 6PM
275,Bar 31,"31 St Thomas Street, London, SE1 9QU","Bar 31 is a great meeting place to unwind over a few drinks in the heart of London Bridge. Greeted by an energetic and friendly team, they offer local craft beers on tap along with a fantastic range of spirits and wines.",Closed,Closed,4PM - 10PM,4PM - 10PM,12PM - 11PM,12PM - 11PM,2PM - 9PM
276,Homeboy Bar - Embassy Gardens," Unit 6 , New Union Square, Embassy Gardens, London, SW11 7DN","Homeboy delivers the best of warm, laid-back Irish hospitality, home comforts paired with delicious drinks, approachable traditional food with a modern Irish nuance to London.",12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 2AM,12PM - 2AM,12PM - 12AM
277,The Saxon,"50 Clapham High Street, London, SW4 7UL","The Saxon is a new addition to Clapham High Street having just had a big ol' refurbishment and with the promise of delicious food and DJs on the weekend, this will be a great new addition to the area.",Closed,4PM - 12AM,4PM - 12AM,4PM - 12AM,12PM - 1:30AM,12PM - 1:30AM,12PM - 10AM
278,Granary Square Brasserie,"1 Granary Square, London, N1C 4AB","Granary Square Brasserie offers relaxed yet sophisticated all day dining, and a mix of modern British and International dishes combined with friendly and attentive service. Located in the heart of King’s Cross it is the perfect neighbourhood brasserie.",9AM - 10:30PM,9AM - 10:30PM,9AM - 10:30PM,9AM - 10:30PM,9AM - 11PM,9AM - 11PM,9AM - 11PM
279,Paradise,"61 Rupert Street, London, W1D 7PW","From Sri Lanka to Soho, this is Paradise. Contemporary Sri-Lankan dishes based on recipes influenced by Portuguese, Malay, South Indian and Dutch cuisine, all served in a brutalist dining room in the heart of Soho.",Closed,5:30PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,Closed
280,YOPO Bar at The Mandrake Hotel,"The Mandrake Hotel, 20-21 Newman Street, London, W1T 1PG",A glamorous restaurant and bar hidden away in the multi-award-winning Mandrake Hotel. With a South American influence that prevails throughout - you're always sure to have a truly unforgettable experience at YOPO.,Closed,Closed,5PM - 9PM,5PM - 9PM,5PM - 9PM,5PM - 9PM,Closed
281,Sette Bar,"4 Knightsbridge Green, London, SW1X 7QA","Seated in the heart of Knightsbridge in the Bvlgari London, Sette Bar is an ode to the Italian way of living. A means to escape the busy cosmopolitan of London, with a generous selection of cocktails that celebrate the sweet life – ‘La Dolce Vita’.",4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,12PM - 11PM
282,The French Corner,"Mercato Metropolitano, 42 Newington Causeway, London, SE1 6DR","Hidden within Mercato Metropolitano, this cosy bistro-style spot is a tiny slice of the South of France.",12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM
283,Rico Coco,"Mercato Mayfair, St. Mark's Church, North Audley Street, London, W1K 6ZA","Tucked within Mercato Mayfair is this charming, lavender-filled terrace, reminiscent of the South of France.",12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM
